
81,house,S000797,Thomas,Bahnson,Stanley,,1890-07-16,VA,D,Yes,1949-01-03,58.5
81,house,R000329,Edward,John,Robeson,Jr.,1890-08-09,VA,D,No,1949-01-03,58.4
81,house,A000239,August,Herman,Andresen,,1890-10-11,MN,R,Yes,1949-01-03,58.2
81,house,M000606,John,,McSweeney,,1890-12-19,OH,D,No,1949-01-03,58.0
81,house,A000114,Asa,Leonard,Allen,,1891-01-05,LA,D,Yes,1949-01-03,58.0
81,house,M000727,George,Paul,Miller,,1891-01-15,CA,D,Yes,1949-01-03,58.0
81,house,B000232,George,Joseph,Bates,,1891-02-25,MA,R,Yes,1949-01-03,57.9
81,house,P000002,Stephen,,Pace,,1891-03-09,GA,D,Yes,1949-01-03,57.8
81,house,W000450,Richard,Bowditch,Wigglesworth,,1891-04-25,MA,R,Yes,1949-01-03,57.7
81,house,B000621,Herbert,Covington,Bonner,,1891-05-16,NC,D,Yes,1949-01-03,57.6
81,house,M000021,Russell,Vernon,Mack,,1891-06-13,WA,R,Yes,1949-01-03,57.6
81,house,S000923,William,Grady,Stigler,,1891-07-07,OK,D,Yes,1949-01-03,57.5
81,house,C000926,Thurman,Charles,Crook,,1891-07-18,IN,D,No,1949-01-03,57.5
81,house,E000160,Charles,Henry,Elston,,1891-08-01,OH,R,Yes,1949-01-03,57.4
81,house,W000252,Alvin,F.,Weichel,,1891-09-11,OH,R,Yes,1949-01-03,57.3
81,house,G000258,James,Stephen,Golden,,1891-09-20,KY,R,No,1949-01-03,57.3
81,house,M000364,John,William,McCormack,,1891-12-21,MA,D,Yes,1949-01-03,57.0
81,house,T000028,Henry,Oscar,Talle,,1892-01-12,IA,R,Yes,1949-01-03,57.0
81,house,P000285,Joseph,Lawrence,Pfeifer,,1892-02-06,NY,D,Yes,1949-01-03,56.9
81,house,M000039,Ray,John,Madden,,1892-02-25,IN,D,Yes,1949-01-03,56.9
81,house,G000091,Julian,Vaughan,Gary,,1892-02-25,VA,D,Yes,1949-01-03,56.9
81,house,E000029,Herman,Peter,Eberharter,,1892-04-29,PA,D,Yes,1949-01-03,56.7
81,house,M000715,Arthur,Lewis,Miller,,1892-05-24,NE,R,Yes,1949-01-03,56.6
81,house,B000794,Walter,Ellsworth,Brehm,,1892-05-25,OH,R,Yes,1949-01-03,56.6
81,house,C000070,Albert,Sidney,Camp,,1892-07-26,GA,D,Yes,1949-01-03,56.4
81,house,D000571,Carl,Thomas,Durham,,1892-08-28,NC,D,Yes,1949-01-03,56.3
81,house,S000585,Lawrence,Henry,Smith,,1892-09-15,WI,R,Yes,1949-01-03,56.3
81,house,W000663,Gardner,Robert,Withrow,,1892-10-05,WI,R,No,1949-01-03,56.2
81,house,S000640,Wint,,Smith,,1892-10-07,KS,R,Yes,1949-01-03,56.2
